2022.01.18 21:33:50 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/project_dump/status
2022.01.18 21:33:50 INFO  web[][o.s.s.t.TelemetryDaemon] Sharing of SonarQube statistics is enabled.
2022.01.18 21:33:50 INFO  web[][o.s.s.n.NotificationDaemon] Notification service started (delay 60 sec.)
2022.01.18 21:33:50 INFO  web[][o.s.s.a.p.ExpiredSessionsCleaner] Purge of expired session tokens has removed 0 elements
2022.01.18 21:33:50 INFO  web[][o.s.s.a.p.ExpiredSessionsCleaner] Purge of expired SAML message ids has removed 0 elements
2022.01.18 21:33:50 INFO  web[][o.s.s.s.GeneratePluginIndex] Generate scanner plugin index
2022.01.18 21:33:50 INFO  web[][o.s.s.s.RegisterPermissionTemplates] Register permission templates
2022.01.18 21:33:50 INFO  web[][o.s.s.s.RenameDeprecatedPropertyKeys] Rename deprecated property keys
2022.01.18 21:33:50 INFO  web[][o.s.s.s.RegisterPlugins] Register plugins
2022.01.18 21:33:50 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.SonarLintConnectionFilter@5c6bbb01 [pattern=UrlPattern{inclusions=[/api/*], exclusions=[]}]
2022.01.18 21:33:50 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.WebServiceFilter@6af4e831 [pattern=UrlPattern{inclusions=[/api/issues/delete_comment.*, ...], exclusions=[/api/authentication/login.*, ...]}]
2022.01.18 21:33:50 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.WebServiceReroutingFilter@61eda00f [pattern=UrlPattern{inclusions=[/api/components/bulk_update_key, ...], exclusions=[]}]
2022.01.18 21:33:50 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.plugins.PluginsRiskConsentFilter@284aa8 [pattern=UrlPattern{inclusions=[/*], exclusions=[*.css, ...]}]
2022.01.18 21:33:50 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.DefaultAdminCredentialsVerifierFilter@6ec49468 [pattern=UrlPattern{inclusions=[/*], exclusions=[*.css, ...]}]
2022.01.18 21:33:50 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.InitFilter@39d8bec5 [pattern=UrlPattern{inclusions=[/sessions/init/*], exclusions=[]}]
2022.01.18 21:33:50 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.OAuth2CallbackFilter@667de16c [pattern=UrlPattern{inclusions=[/oauth2/callback/*], exclusions=[]}]
2022.01.18 21:33:50 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ResetPasswordFilter@243470e7 [pattern=UrlPattern{inclusions=[/*], exclusions=[*.css, ...]}]
2022.01.18 21:33:50 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LoginAction@4cf639c4 [pattern=UrlPattern{inclusions=[/api/authentication/login], exclusions=[]}]
2022.01.18 21:33:50 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LogoutAction@1890900a [pattern=UrlPattern{inclusions=[/api/authentication/logout], exclusions=[]}]
2022.01.18 21:33:50 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.ValidateAction@44d3a926 [pattern=UrlPattern{inclusions=[/api/authentication/validate], exclusions=[]}]
2022.01.18 21:33:50 INFO  web[][o.s.s.q.ProjectsInWarningDaemon] Counting number of projects in warning is not started as there are no projects in this situation.
2022.01.18 21:33:50 INFO  web[][o.s.s.p.p.PlatformLevelStartup] Running Community Edition
2022.01.18 21:33:50 INFO  web[][o.s.s.p.Platform] WebServer is operational
